ID,Name,Localized Name,Temperature,Luminosity,Density,Viscosity,Placeable,Block ID,Block Class
76,red.aurum.molten,熔融赤金,1300,15,3000,6000,true,ExtraTiC:moltenRedAurum,glassmaker.extratic.metals.MoltenMetalBlock
77,dark.steel.molten,熔融玄钢,1300,15,3000,6000,true,ExtraTiC:moltenDarkSteel,glassmaker.extratic.metals.MoltenMetalBlock
78,zinc.molten,熔融盐,1300,15,3000,6000,true,ExtraTiC:moltenZinc,glassmaker.extratic.metals.MoltenMetalBlock
79,brass.molten,熔融黄铜,1300,15,3000,6000,true,ExtraTiC:moltenBrass,glassmaker.extratic.metals.MoltenMetalBlock
80,adamantine.molten,熔融金刚,1300,15,3000,6000,true,ExtraTiC:moltenAdamantine.,glassmaker.extratic.metals.MoltenMetalBlock
81,conductive.iron.molten,熔融导电铁,1300,15,3000,6000,true,ExtraTiC:moltenConductiveIron,glassmaker.extratic.metals.MoltenMetalBlock
82,electrical.steel.molten,熔融磁钢,1300,15,3000,6000,true,ExtraTiC:moltenElectricalSteel,glassmaker.extratic.metals.MoltenMetalBlock
83,energetic.alloy.molten,熔融充能合金,1300,15,3000,6000,true,ExtraTiC:moltenEnergeticAlloy,glassmaker.extratic.metals.MoltenMetalBlock
84,phased.gold.molten,熔融脉冲合金,1300,15,3000,6000,true,ExtraTiC:moltenPhasedGold,glassmaker.extratic.metals.MoltenMetalBlock
85,phased.iron.molten,熔融焊锡,1300,15,3000,6000,true,ExtraTiC:moltenPhasedIron,glassmaker.extratic.metals.MoltenMetalBlock
86,redstone.alloy.molten,熔融红石合金,1300,15,3000,6000,true,ExtraTiC:moltenRedstoneAlloy,glassmaker.extratic.metals.MoltenMetalBlock
87,silicon.liquid,熔融硅,1300,15,3000,6000,true,ExtraTiC:liquidSilicon,glassmaker.extratic.metals.MoltenMetalBlock
88,soularium.molten,熔融钛,1300,15,3000,6000,true,ExtraTiC:moltenSoularium,glassmaker.extratic.metals.MoltenMetalBlock
89,manasteel.molten,熔融魔钢,1300,15,3000,6000,true,ExtraTiC:moltenManasteel,glassmaker.extratic.metals.MoltenMetalBlock
90,terrasteel.molten,液氯,1300,15,3000,6000,true,ExtraTiC:moltenTerrasteel,glassmaker.extratic.metals.MoltenMetalBlock
91,elementium.molten,熔融源质钢,1300,15,3000,6000,true,ExtraTiC:moltenElementium,glassmaker.extratic.metals.MoltenMetalBlock
92,blutonium.molten,熔融蓝钚,1300,15,3000,6000,true,ExtraTiC:moltenblutonium,glassmaker.extratic.metals.MoltenMetalBlock
93,ludicrite.molten,熔融纯镥,1300,15,3000,6000,true,ExtraTiC:moltenLudicrite,glassmaker.extratic.metals.MoltenMetalBlock
94,bedrockium.molten,熔融基岩,1300,15,3000,6000,true,ExtraTiC:moltenBedrockium,glassmaker.extratic.metals.MoltenMetalBlock
95,fluidmustard,芥末,300,0,1000,5000,true,jaffa:blockFluidMustard,com.murdy.jaffa.fluid.BlockFluidMustard
96,fluidcream,奶油,300,0,1000,5000,true,jaffa:blockFluidCream,com.murdy.jaffa.fluid.BlockFluidCream
97,fluidoil,油,300,0,1000,4000,true,jaffa:blockFluidOil,com.murdy.jaffa.fluid.BlockFluidOil
98,fluidstock,干货,300,3,1000,1000,true,jaffa:blockFluidStock,com.murdy.jaffa.fluid.BlockFluidStock
99,fluidvinegar,醋,300,3,1000,1000,true,jaffa:blockFluidVinegar,com.murdy.jaffa.fluid.BlockFluidVinegar
100,fluidicecream,冰淇淋,300,0,1000,5000,true,jaffa:blockFluidIceCream,com.murdy.jaffa.fluid.BlockFluidIceCream
101,xpjuice,液态经验,300,10,800,1500,false,null,null
102,betterquesting.placeholder,占位符,300,0,1000,1000,false,null,null
103,molten.bedrockiumingots,熔融基岩锭,1300,0,3000,6000,false,null,null
104,molten.unstableingots,熔融不稳定金属锭,1300,0,3000,6000,false,null,null
105,redstone.molten,熔融红石,300,12,1000,3000,true,ProjRed|Compatibility:projectred.compatibility.liqredstone,mrtjp.projectred.compatibility.tconstruct.LiquidFiniteSubstance
106,redmetal.molten,熔融红石合金,300,12,2000,4000,true,ProjRed|Compatibility:projectred.compatibility.liqcondredmetal,mrtjp.projectred.compatibility.tconstruct.LiquidFiniteSubstance
