Fluid,Amount,Empty Container,Empty Container Display Name,Empty Container Item,Filled Container,Filled Container Display Name,Filled Container Item
cryotheum,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@4,极寒之凛冰桶,ThermalFoundation:bucket
dark.steel.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@9,桶装熔融玄钢,ExtraTiC:extra.bucket
electrum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@22,熔融琥珀金黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
electrum.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@22,熔融琥珀金桶,TConstruct:buckets
elementium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@15,桶装熔融源质钢,ExtraTiC:extra.bucket
emerald.liquid,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@15,熔融绿宝石黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
emerald.liquid,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@15,熔融绿宝石桶,TConstruct:buckets
ender,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@23,液态末影黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
ender,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@2,谐振熔融末影珍珠桶,ThermalFoundation:bucket
ender,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@23,熔融末影珍珠桶,TConstruct:buckets
ender_distillation,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketEnder_distillation@0,深渊露水桶,EnderIO:bucketEnder_distillation
enderium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@30,熔融末影（te）桶,TConstruct:buckets
ethanol,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.ImmersiveEngineering.fluidContainers@5,乙醇桶,ImmersiveEngineering:fluidContainers
ethanol,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.ImmersiveEngineering.fluidContainers@4,乙醇瓶,ImmersiveEngineering:fluidContainers
fairy.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@1,桶装熔融精灵,ExtraTiC:extra.bucket
fire_water,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketFire_water@0,火焰水桶,EnderIO:bucketFire_water
fluidcream,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.CreamBucket@0,奶油桶,jaffa:CreamBucket
fluidicecream,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.IceCreamBucket@0,冰淇淋桶,jaffa:IceCreamBucket
fluidmustard,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.MustardBucket@0,芥末桶,jaffa:MustardBucket
fluidoil,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.OilBucket@0,油桶,jaffa:OilBucket
fluidstock,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.StockBucket@0,干货桶,jaffa:StockBucket
fluidvinegar,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.VinegarBucket@0,醋桶,jaffa:VinegarBucket
glass.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@13,熔融玻璃黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
glass.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@13,熔融玻璃桶,TConstruct:buckets
glowstone,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@1,充能熔融荧石桶,ThermalFoundation:bucket
glue,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@25,凝胶黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
glue,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@25,黏性凝胶桶,TConstruct:buckets
gold.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@1,熔融金黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
gold.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@1,熔融金桶,TConstruct:buckets
hootch,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketHootch@0,烈酒桶,EnderIO:bucketHootch
invar.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@21,熔融殷钢黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
invar.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@21,熔融殷钢桶,TConstruct:buckets
iron.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@0,熔融铁黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
iron.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@0,熔融铁桶,TConstruct:buckets
lava,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketLava@0,岩浆桶,minecraft:lava_bucket
lava,1000,0xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket.Lava@0,岩浆黏土桶,IguanaTweaksTConstruct:clayBucketLava
lead.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@18,熔融铅黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
lead.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@18,熔融铅桶,TConstruct:buckets
liquid_sunshine,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketLiquid_sunshine@0,液态阳光桶,EnderIO:bucketLiquid_sunshine
ludicrite.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@18,桶装熔融纯镥,ExtraTiC:extra.bucket
lumium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@27,熔融流明桶,TConstruct:buckets
mana,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@5,元始魔力桶,ThermalFoundation:bucket
manasteel.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@13,桶装熔融魔钢,ExtraTiC:extra.bucket
manyullyn.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@9,熔融玛玉灵黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
manyullyn.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@9,熔融玛玉灵桶,TConstruct:buckets
meat,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.meat@0,肉汤桶,MineFactoryReloaded:bucket.meat
milk,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.mfr.milkbottle@0,牛奶瓶,MineFactoryReloaded:milkbottle
milk,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.milk@0,牛奶桶,minecraft:milk_bucket
mithril.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@29,熔融蕴魔金属桶,TConstruct:buckets
mobessence,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.essence@0,怪物精华液桶,MineFactoryReloaded:bucket.essence
mushroomsoup,1000,1xitem.bowl@0,碗,minecraft:bowl,1xitem.mushroomStew@0,蘑菇煲,minecraft:mushroom_stew
mushroomsoup,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.mushroomsoup@0,蘑菇汤桶,MineFactoryReloaded:bucket.mushroomsoup
nickel.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@17,熔融镍黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
nickel.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@17,熔融镍桶,TConstruct:buckets
nutrient_distillation,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketNutrient_distillation@0,营养精华液桶,EnderIO:bucketNutrient_distillation
obsidian.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@11,熔融黑曜石黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
obsidian.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@11,熔融黑曜石桶,TConstruct:buckets
petrotheum,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@8,构造之地岩桶,ThermalFoundation:bucket
pigiron.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@26,熔融生铁黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
pigiron.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@26,熔融生铁桶,TConstruct:buckets
pinkslime,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.pinkslime@0,粉色粘液桶,MineFactoryReloaded:bucket.pinkslime
plantoil,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.ImmersiveEngineering.fluidContainers@3,植物油桶,ImmersiveEngineering:fluidContainers
plantoil,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.ImmersiveEngineering.fluidContainers@2,植物油瓶,ImmersiveEngineering:fluidContainers
platinum.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@20,熔融铂黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
platinum.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@20,熔融铂金桶,TConstruct:buckets
pokefennium.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@4,桶装熔融铁血,ExtraTiC:extra.bucket
pyrotheum,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@3,烈焰之炽焱桶,ThermalFoundation:bucket
quartz.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@31,熔融下界石英桶,TConstruct:buckets
red.aurum.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@5,桶装熔融赤金,ExtraTiC:extra.bucket
redstone,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.thermalfoundation.bucket@0,不稳定熔融红石桶,ThermalFoundation:bucket
rocket_fuel,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketRocket_fuel@0,火箭燃料桶,EnderIO:bucketRocket_fuel
sewage,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.sewage@0,污水桶,MineFactoryReloaded:bucket.sewage
signalum.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@28,熔融信素桶,TConstruct:buckets
silver.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@19,熔融银黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
silver.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@19,熔融银桶,TConstruct:buckets
slime.blue,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@24,史莱姆黏液黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
slime.blue,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@24,史莱姆黏液桶,TConstruct:buckets
sludge,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.mfr.bucket.sludge@0,污泥桶,MineFactoryReloaded:bucket.sludge
steel.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@12,熔融钢黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
steel.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@12,熔融钢桶,TConstruct:buckets
stone.seared,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@14,熔融焦石黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
stone.seared,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@14,熔融石头桶,TConstruct:buckets
terrasteel.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@14,桶装液氯,ExtraTiC:extra.bucket
tin.molten,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket@3,熔融锡黏土桶,IguanaTweaksTConstruct:clayBucketsTinkers
tin.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.tconstruct.bucket@3,熔融锡桶,TConstruct:buckets
vapor_of_levity,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketVapor_of_levity@0,轻盈之气桶,EnderIO:bucketVapor_of_levity
water,1000,1xitem.iguana.tcon.clayBucketFired@0,烤制的黏土桶,IguanaTweaksTConstruct:clayBucketFired,1xitem.iguana.tcon.clayBucket.Water@0,水黏土桶,IguanaTweaksTConstruct:clayBucketWater
water,1000,1xitem.glassBottle@0,玻璃瓶,minecraft:glass_bottle,1xitem.potion@0,水瓶,minecraft:potion
water,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.bucketWater@0,水桶,minecraft:water_bucket
witchwater,1000,1xitem.bucket@0,桶,minecraft:bucket,1xexnihilo.bucket_witchwater@0,巫水桶,exnihilo:bucket_witchwater
xpjuice,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.openblocks.filledbucket@0,液态经验桶,OpenBlocks:filledbucket
zinc.molten,1000,1xitem.bucket@0,桶,minecraft:bucket,1xitem.extratic.bucket@10,桶装熔融盐,ExtraTiC:extra.bucket
