Handler Recipe Name,Handler Class,Overlay Identifier,Mod DisplayName,ItemStack
Ex Nihilo Hammer,exnihilo.compatibility.nei.RecipeHandlerHammer,null,Ex Nihilo,1xexnihilo.hammer_iron@0
Ex Nihilo Sieve,exnihilo.compatibility.nei.RecipeHandlerSieve,null,Ex Nihilo,1xtile.exnihilo.sifting_table@0
工业挤压机,blusunrize.immersiveengineering.client.nei.NEISqueezerHandler,ieSqueezer,Immersive Engineering,1xtile.ImmersiveEngineering.metalMultiblock@2
晾干架,tconstruct.plugins.nei.RecipeHandlerDryingRack,null,Tinker's Construct,1xtile.Armor.DryingRack@0
灵魂绑定器,crazypants.enderio.nei.SoulBinderRecipeHandler,EnderIOSoulBinder,Ender IO,1xtile.blockSoulBinder@0
发酵机,blusunrize.immersiveengineering.client.nei.NEIFermenterHandler,ieFermenter,Immersive Engineering,1xtile.ImmersiveEngineering.metalMultiblock@3
工具材料,tconstruct.plugins.nei.RecipeHandlerToolMaterials,null,Tinker's Construct,1xtile.ToolStation@0
冶炼炉熔化,tconstruct.plugins.nei.RecipeHandlerMelting,null,Tinker's Construct,1xtile.LavaTank@2
炼油厂,blusunrize.immersiveengineering.client.nei.NEIRefineryHandler,ieRefinery,Immersive Engineering,1xtile.ImmersiveEngineering.metalMultiblock@4
冶炼炉合金,tconstruct.plugins.nei.RecipeHandlerAlloying,null,Tinker's Construct,1xtile.Smeltery@0
灌装机,blusunrize.immersiveengineering.client.nei.NEIBottlingMachineHandler,ieBottlingMachine,Immersive Engineering,1xitem.glassBottle@0
浇铸台,tconstruct.plugins.nei.RecipeHandlerCastingTable,null,Tinker's Construct,1xtile.SearedBlock@0
铸造盆,tconstruct.plugins.nei.RecipeHandlerCastingBasin,null,Tinker's Construct,1xtile.SearedBlock@2
流体注册表,tonius.neiintegration.mods.mcforge.RecipeHandlerFluidRegistry,null,Minecraft,1xtile.water@0
金属冲压机,blusunrize.immersiveengineering.client.nei.NEIMetalPressHandler,ieMetalPress,Immersive Engineering,1xtile.ImmersiveEngineering.metalMultiblock@13
矿物辞典,tonius.neiintegration.mods.mcforge.RecipeHandlerOreDictionary,null,Minecraft,1xtile.oreIron@0
粉碎机,blusunrize.immersiveengineering.client.nei.NEICrusherHandler,ieCrusher,Immersive Engineering,1xtile.ImmersiveEngineering.metalMultiblock@5
QED Recipes,com.rwtema.extrautils.nei.EnderConstructorHandler,qedcrafting,Extra Utilities,1xtile.extrautils:endConstructor@0
Documentation,com.rwtema.extrautils.nei.InfoHandler,null,Extra Utilities,1xtile.extrautils:chandelier@0
Soul Crafting,com.rwtema.extrautils.nei.SoulHandler,null,Extra Utilities,1xitem.extrautils:mini-soul@0
Microblock Crafting,com.rwtema.extrautils.nei.FMPMicroBlocksHandler,crafting,Extra Utilities,1xitem.microblock:sawIron@0
Extra Utilities: Microblocks,com.rwtema.extrautils.nei.MicroBlocksHandler,crafting,Extra Utilities,1xitem.extrautils:microblocks@1
蜂箱,tonius.neiintegration.mods.harvestcraft.RecipeHandlerApiary,null,Pam's Harvestcraft,1xtile.apiary@0
压榨机,tonius.neiintegration.mods.harvestcraft.RecipeHandlerPresser,null,Pam's Harvestcraft,1xtile.presser@0
烤箱,tonius.neiintegration.mods.harvestcraft.RecipeHandlerOven,null,Pam's Harvestcraft,1xtile.oven@0
搅拌机,tonius.neiintegration.mods.harvestcraft.RecipeHandlerChurn,null,Pam's Harvestcraft,1xtile.churn@0
石磨,tonius.neiintegration.mods.harvestcraft.RecipeHandlerQuern,null,Pam's Harvestcraft,1xtile.quern@0
生物质炉,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerBioReactor,null,MineFactory Reloaded,1xtile.mfr.machine.1@10
堆肥器,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerComposter,null,MineFactory Reloaded,1xtile.mfr.machine.0@11
屠宰机,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerGrinder,null,MineFactory Reloaded,1xtile.mfr.machine.0@13
收割机,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerHarvester,null,MineFactory Reloaded,1xtile.mfr.machine.0@2
镭射钻,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerLaserDrill,null,MineFactory Reloaded,1xtile.mfr.machine.2@0
岩浆制造机,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerLavaFabricator,null,MineFactory Reloaded,1xtile.mfr.machine.1@5
肉块打包机,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerMeatPacker,null,MineFactory Reloaded,1xtile.mfr.machine.1@14
排污器,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSewer,null,MineFactory Reloaded,1xtile.mfr.machine.0@10
屠宰场,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSlaughterhouse,null,MineFactory Reloaded,1xtile.mfr.machine.1@13
污泥处理机,tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSludgeBoiler,null,MineFactory Reloaded,1xtile.mfr.machine.0@9
蓝晶再加工机,tonius.neiintegration.mods.bigreactors.RecipeHandlerCyaniteReprocessor,null,Big Reactors,1xtile.blockBRDevice.0@0
