Class Name,Type
mrtjp.projectred.core.libmc.recipe.PRShapedRecipeHandler,crafting
mrtjp.projectred.core.libmc.recipe.PRShapelessRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerSmelter,crafting
crazypants.enderio.nei.AlloySmelterRecipeHandler,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerPetalApothecary,crafting
crazypants.enderio.nei.SagMillRecipeHandler,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCrucible,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerRunicAltar,crafting
team.chisel.compat.nei.RecipeHandlerChisel,crafting
cofh.thermaldynamics.plugins.nei.RecipeHandlerCover,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerTransposer,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerManaPool,crafting
crazypants.enderio.nei.VatRecipeHandler,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerElvenTrade,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerInsolator,crafting
blusunrize.immersiveengineering.client.nei.NEIShaderBagHandler,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerBrewery,crafting
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCharger,crafting
crazypants.enderio.nei.EnchanterRecipeHandler,crafting
blockrenderer6343.integration.structurelib.StructureCompatNEIHandler,crafting
blusunrize.immersiveengineering.client.nei.NEIBlueprintHandler,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerPureDaisy,crafting
blusunrize.immersiveengineering.client.nei.NEICokeOvenHandler,crafting
crazypants.enderio.nei.SliceAndSpliceRecipeHandler,crafting
vazkii.botania.client.integration.nei.recipe.RecipeHandlerLexicaBotania,crafting
blusunrize.immersiveengineering.client.nei.NEIBlastFurnaceHandler,crafting
exnihilo.compatibility.nei.RecipeHandlerHammer,crafting
exnihilo.compatibility.nei.RecipeHandlerSieve,crafting
blusunrize.immersiveengineering.client.nei.NEISqueezerHandler,crafting
tconstruct.plugins.nei.RecipeHandlerDryingRack,crafting
crazypants.enderio.nei.SoulBinderRecipeHandler,crafting
blusunrize.immersiveengineering.client.nei.NEIFermenterHandler,crafting
tconstruct.plugins.nei.RecipeHandlerToolMaterials,crafting
tconstruct.plugins.nei.RecipeHandlerMelting,crafting
blusunrize.immersiveengineering.client.nei.NEIRefineryHandler,crafting
tconstruct.plugins.nei.RecipeHandlerAlloying,crafting
blusunrize.immersiveengineering.client.nei.NEIBottlingMachineHandler,crafting
tconstruct.plugins.nei.RecipeHandlerCastingTable,crafting
tconstruct.plugins.nei.RecipeHandlerCastingBasin,crafting
tonius.neiintegration.mods.mcforge.RecipeHandlerFluidRegistry,crafting
blusunrize.immersiveengineering.client.nei.NEIMetalPressHandler,crafting
tonius.neiintegration.mods.mcforge.RecipeHandlerOreDictionary,crafting
blusunrize.immersiveengineering.client.nei.NEICrusherHandler,crafting
com.rwtema.extrautils.nei.EnderConstructorHandler,crafting
com.rwtema.extrautils.nei.InfoHandler,crafting
com.rwtema.extrautils.nei.SoulHandler,crafting
com.rwtema.extrautils.nei.FMPMicroBlocksHandler,crafting
com.rwtema.extrautils.nei.MicroBlocksHandler,crafting
tonius.neiintegration.mods.harvestcraft.RecipeHandlerApiary,crafting
tonius.neiintegration.mods.harvestcraft.RecipeHandlerPresser,crafting
tonius.neiintegration.mods.harvestcraft.RecipeHandlerOven,crafting
tonius.neiintegration.mods.harvestcraft.RecipeHandlerChurn,crafting
tonius.neiintegration.mods.harvestcraft.RecipeHandlerQuern,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerBioReactor,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerComposter,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerGrinder,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerHarvester,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerLaserDrill,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerLavaFabricator,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerMeatPacker,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSewer,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSlaughterhouse,crafting
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSludgeBoiler,crafting
tonius.neiintegration.mods.bigreactors.RecipeHandlerCyaniteReprocessor,crafting
codechicken.nei.recipe.ShapedRecipeHandler,usage
codechicken.nei.recipe.ShapelessRecipeHandler,usage
codechicken.nei.recipe.FireworkRecipeHandler,usage
codechicken.nei.recipe.FurnaceRecipeHandler,usage
codechicken.nei.recipe.BrewingRecipeHandler,usage
codechicken.nei.recipe.FuelRecipeHandler,usage
codechicken.nei.recipe.InformationHandler,usage
codechicken.nei.recipe.RepairRecipeHandler,usage
codechicken.nei.recipe.ProfilerRecipeHandler,usage
appeng.integration.modules.NEIHelpers.NEIAEShapedRecipeHandler,usage
appeng.integration.modules.NEIHelpers.NEIAEShapelessRecipeHandler,usage
appeng.integration.modules.NEIHelpers.NEIInscriberRecipeHandler,usage
appeng.integration.modules.NEIHelpers.NEIWorldCraftingHandler,usage
appeng.integration.modules.NEIHelpers.NEICellViewHandler,usage
appeng.integration.modules.NEIHelpers.NEIPatternViewHandler,usage
appeng.integration.modules.NEIHelpers.NEIGrinderRecipeHandler,usage
appeng.integration.modules.NEIHelpers.NEIFacadeRecipeHandler,usage
extracells.integration.nei.UniversalTerminalRecipe,usage
gcewing.projectblue.nei.NEIRecipeHandler,usage
com.github.dcysteine.neicustomdiagram.api.diagram.CustomDiagramGroup,usage
com.github.dcysteine.neicustomdiagram.api.diagram.CustomDiagramGroup,usage
com.github.dcysteine.neicustomdiagram.api.diagram.DiagramGroup,usage
loenwind.enderioaddons.nei.TeaserRecipeHandler,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingMachine,usage
bq_standard.integration.nei.QuestRecipeHandler,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingUpgrade,usage
loenwind.enderioaddons.nei.MagChargerRecipeHandler,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCraftingSecure,usage
com.pam.harvestcraft.AnimalTrapRecipeHandler,usage
com.pam.harvestcraft.FishTrapRecipeHandler,usage
com.pam.harvestcraft.GardenRecipeHandler,usage
fox.spiteful.avaritia.compat.nei.ExtremeShapedRecipeHandler,usage
fox.spiteful.avaritia.compat.nei.ExtremeShapelessRecipeHandler,usage
fox.spiteful.avaritia.compat.nei.CompressionHandler,usage
com.kuba6000.mobsinfo.nei.MobHandler,usage
com.kuba6000.mobsinfo.nei.VillagerTradesHandler,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerFurnace,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerPulverizer,usage
com.brandon3055.draconicevolution.integration.nei.ReactorNEIHandler,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerFloatingFlowers,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerSawmill,usage
mrtjp.projectred.core.libmc.recipe.PRShapedRecipeHandler,usage
mrtjp.projectred.core.libmc.recipe.PRShapelessRecipeHandler,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerSmelter,usage
crazypants.enderio.nei.AlloySmelterRecipeHandler,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerPetalApothecary,usage
crazypants.enderio.nei.SagMillRecipeHandler,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCrucible,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerRunicAltar,usage
team.chisel.compat.nei.RecipeHandlerChisel,usage
cofh.thermaldynamics.plugins.nei.RecipeHandlerCover,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerTransposer,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerManaPool,usage
crazypants.enderio.nei.VatRecipeHandler,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerElvenTrade,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerInsolator,usage
blusunrize.immersiveengineering.client.nei.NEIShaderBagHandler,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerBrewery,usage
cofh.thermalexpansion.plugins.nei.handlers.RecipeHandlerCharger,usage
crazypants.enderio.nei.EnchanterRecipeHandler,usage
blockrenderer6343.integration.structurelib.StructureCompatNEIHandler,usage
blusunrize.immersiveengineering.client.nei.NEIBlueprintHandler,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerPureDaisy,usage
blusunrize.immersiveengineering.client.nei.NEICokeOvenHandler,usage
crazypants.enderio.nei.SliceAndSpliceRecipeHandler,usage
vazkii.botania.client.integration.nei.recipe.RecipeHandlerLexicaBotania,usage
blusunrize.immersiveengineering.client.nei.NEIBlastFurnaceHandler,usage
exnihilo.compatibility.nei.RecipeHandlerHammer,usage
exnihilo.compatibility.nei.RecipeHandlerSieve,usage
blusunrize.immersiveengineering.client.nei.NEISqueezerHandler,usage
tconstruct.plugins.nei.RecipeHandlerDryingRack,usage
crazypants.enderio.nei.SoulBinderRecipeHandler,usage
blusunrize.immersiveengineering.client.nei.NEIFermenterHandler,usage
tconstruct.plugins.nei.RecipeHandlerToolMaterials,usage
tconstruct.plugins.nei.RecipeHandlerMelting,usage
blusunrize.immersiveengineering.client.nei.NEIRefineryHandler,usage
tconstruct.plugins.nei.RecipeHandlerAlloying,usage
blusunrize.immersiveengineering.client.nei.NEIBottlingMachineHandler,usage
tconstruct.plugins.nei.RecipeHandlerCastingTable,usage
tconstruct.plugins.nei.RecipeHandlerCastingBasin,usage
tonius.neiintegration.mods.mcforge.RecipeHandlerFluidRegistry,usage
blusunrize.immersiveengineering.client.nei.NEIMetalPressHandler,usage
tonius.neiintegration.mods.mcforge.RecipeHandlerOreDictionary,usage
blusunrize.immersiveengineering.client.nei.NEICrusherHandler,usage
com.rwtema.extrautils.nei.EnderConstructorHandler,usage
com.rwtema.extrautils.nei.InfoHandler,usage
com.rwtema.extrautils.nei.SoulHandler,usage
com.rwtema.extrautils.nei.FMPMicroBlocksHandler,usage
com.rwtema.extrautils.nei.MicroBlocksHandler,usage
tonius.neiintegration.mods.harvestcraft.RecipeHandlerApiary,usage
tonius.neiintegration.mods.harvestcraft.RecipeHandlerPresser,usage
tonius.neiintegration.mods.harvestcraft.RecipeHandlerOven,usage
tonius.neiintegration.mods.harvestcraft.RecipeHandlerChurn,usage
tonius.neiintegration.mods.harvestcraft.RecipeHandlerQuern,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerBioReactor,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerComposter,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerGrinder,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerHarvester,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerLaserDrill,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerLavaFabricator,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerMeatPacker,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSewer,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSlaughterhouse,usage
tonius.neiintegration.mods.minefactoryreloaded.RecipeHandlerSludgeBoiler,usage
tonius.neiintegration.mods.bigreactors.RecipeHandlerCyaniteReprocessor,usage
