Name,ID,Has Item,Mod,Class,Display Name
minecraft:ladder,65,true,minecraft,net.minecraft.block.BlockLadder,梯子
minecraft:rail,66,true,minecraft,net.minecraft.block.BlockRail,轨道
minecraft:stone_stairs,67,true,minecraft,net.minecraft.block.BlockStairs,石楼梯
minecraft:wall_sign,68,false,null,net.minecraft.block.BlockSign,null
minecraft:lever,69,true,minecraft,net.minecraft.block.BlockLever,拉杆
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.block.BlockPressurePlate,压力板
minecraft:iron_door,71,false,null,net.minecraft.block.BlockDoor,null
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.block.BlockPressurePlate,压力板
minecraft:redstone_ore,73,true,minecraft,net.minecraft.block.BlockRedstoneOre,红石矿石
minecraft:lit_redstone_ore,74,false,null,net.minecraft.block.BlockRedstoneOre,null
minecraft:unlit_redstone_torch,75,false,null,net.minecraft.block.BlockRedstoneTorch,null
minecraft:redstone_torch,76,true,minecraft,net.minecraft.block.BlockRedstoneTorch,红石火把
minecraft:stone_button,77,true,minecraft,net.minecraft.block.BlockButtonStone,按钮
minecraft:snow_layer,78,true,minecraft,net.minecraft.block.BlockSnow,雪
minecraft:ice,79,true,minecraft,net.minecraft.block.BlockIce,冰
minecraft:snow,80,true,minecraft,net.minecraft.block.BlockSnowBlock,雪
minecraft:cactus,81,true,minecraft,net.minecraft.block.BlockCactus,仙人掌
minecraft:clay,82,true,minecraft,net.minecraft.block.BlockClay,粘土块
minecraft:reeds,83,false,null,net.minecraft.block.BlockReed,null
minecraft:jukebox,84,true,minecraft,net.minecraft.block.BlockJukebox,唱片机
minecraft:fence,85,true,minecraft,net.minecraft.block.BlockFence,栅栏
minecraft:pumpkin,86,true,minecraft,net.minecraft.block.BlockPumpkin,南瓜
minecraft:netherrack,87,true,minecraft,net.minecraft.block.BlockNetherrack,地狱岩
minecraft:soul_sand,88,true,minecraft,net.minecraft.block.BlockSoulSand,灵魂沙
minecraft:glowstone,89,true,minecraft,net.minecraft.block.BlockGlowstone,萤石
minecraft:portal,90,true,minecraft,net.minecraft.block.BlockPortal,传送门
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.block.BlockPumpkin,南瓜灯
minecraft:cake,92,false,null,net.minecraft.block.BlockCake,null
minecraft:unpowered_repeater,93,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:powered_repeater,94,false,null,net.minecraft.block.BlockRedstoneRepeater,null
minecraft:stained_glass,95,true,minecraft,net.minecraft.block.BlockStainedGlass,白色染色玻璃
minecraft:trapdoor,96,true,minecraft,net.minecraft.block.BlockTrapDoor,活板门
minecraft:monster_egg,97,true,minecraft,net.minecraft.block.BlockSilverfish,石头怪物蛋
minecraft:stonebrick,98,true,minecraft,net.minecraft.block.BlockStoneBrick,石砖
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.block.BlockHugeMushroom,蘑菇
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.block.BlockHugeMushroom,蘑菇
minecraft:iron_bars,101,true,minecraft,net.minecraft.block.BlockPane,铁栏杆
minecraft:glass_pane,102,true,minecraft,net.minecraft.block.BlockPane,玻璃板
minecraft:melon_block,103,true,minecraft,net.minecraft.block.BlockMelon,西瓜
minecraft:pumpkin_stem,104,false,null,net.minecraft.block.BlockStem,null
minecraft:melon_stem,105,false,null,net.minecraft.block.BlockStem,null
minecraft:vine,106,true,minecraft,net.minecraft.block.BlockVine,藤蔓
minecraft:fence_gate,107,true,minecraft,net.minecraft.block.BlockFenceGate,橡木栅栏门
minecraft:brick_stairs,108,true,minecraft,net.minecraft.block.BlockStairs,砖楼梯
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.block.BlockStairs,石砖楼梯
minecraft:mycelium,110,true,minecraft,net.minecraft.block.BlockMycelium,菌丝
minecraft:waterlily,111,true,minecraft,net.minecraft.block.BlockLilyPad,睡莲
minecraft:nether_brick,112,true,minecraft,net.minecraft.block.Block,地狱砖块
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.block.BlockFence,地狱砖栅栏
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.block.BlockStairs,地狱砖楼梯
minecraft:nether_wart,115,false,null,net.minecraft.block.BlockNetherWart,null
minecraft:enchanting_table,116,true,minecraft,net.minecraft.block.BlockEnchantmentTable,附魔台
minecraft:brewing_stand,117,false,null,net.minecraft.block.BlockBrewingStand,null
minecraft:cauldron,118,false,null,net.minecraft.block.BlockCauldron,null
minecraft:end_portal,119,true,minecraft,net.minecraft.block.BlockEndPortal,"未命名方块,请报告给作者."
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.block.BlockEndPortalFrame,末地传送门
minecraft:end_stone,121,true,minecraft,net.minecraft.block.Block,末地石
minecraft:dragon_egg,122,true,minecraft,net.minecraft.block.BlockDragonEgg,龙蛋
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.block.BlockRedstoneLight,红石灯
minecraft:lit_redstone_lamp,124,false,null,net.minecraft.block.BlockRedstoneLight,null
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.block.BlockWoodSlab,橡木台阶
minecraft:wooden_slab,126,true,minecraft,net.minecraft.block.BlockWoodSlab,橡木台阶
minecraft:cocoa,127,true,minecraft,net.minecraft.block.BlockCocoa,可可果
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.block.BlockStairs,沙石楼梯
minecraft:emerald_ore,129,true,minecraft,net.minecraft.block.BlockOre,绿宝石矿石
minecraft:ender_chest,130,true,minecraft,net.minecraft.block.BlockEnderChest,私人末影箱子
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.block.BlockTripWireHook,绊线钩
minecraft:tripwire,132,false,null,net.minecraft.block.BlockTripWire,null
minecraft:emerald_block,133,true,minecraft,net.minecraft.block.BlockCompressed,绿宝石块
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.block.BlockStairs,云杉木楼梯
minecraft:birch_stairs,135,true,minecraft,net.minecraft.block.BlockStairs,桦木楼梯
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.block.BlockStairs,丛林木楼梯
minecraft:command_block,137,true,minecraft,net.minecraft.block.BlockCommandBlock,命令方块
minecraft:beacon,138,true,minecraft,net.minecraft.block.BlockBeacon,信标
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.block.BlockWall,圆石墙
minecraft:flower_pot,140,false,null,net.minecraft.block.BlockFlowerPot,null
minecraft:carrots,141,true,minecraft,net.minecraft.block.BlockCarrot,胡萝卜
minecraft:potatoes,142,true,minecraft,net.minecraft.block.BlockPotato,马铃薯
minecraft:wooden_button,143,true,minecraft,net.minecraft.block.BlockButtonWood,按钮
minecraft:skull,144,false,null,net.minecraft.block.BlockSkull,null
minecraft:anvil,145,true,minecraft,net.minecraft.block.BlockAnvil,铁砧
minecraft:trapped_chest,146,true,minecraft,net.minecraft.block.BlockChest,陷阱箱
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.block.BlockPressurePlateWeighted,测重压力板 (重质)
minecraft:unpowered_comparator,149,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:powered_comparator,150,false,null,net.minecraft.block.BlockRedstoneComparator,null
minecraft:daylight_detector,151,true,minecraft,net.minecraft.block.BlockDaylightDetector,阳光传感器
minecraft:redstone_block,152,true,minecraft,net.minecraft.block.BlockCompressedPowered,红石块
minecraft:quartz_ore,153,true,minecraft,net.minecraft.block.BlockOre,下界石英矿石
minecraft:hopper,154,true,minecraft,net.minecraft.block.BlockHopper,漏斗
minecraft:quartz_block,155,true,minecraft,net.minecraft.block.BlockQuartz,石英块
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.block.BlockStairs,石英楼梯
minecraft:activator_rail,157,true,minecraft,net.minecraft.block.BlockRailPowered,激活轨道
minecraft:dropper,158,true,minecraft,net.minecraft.block.BlockDropper,投掷器
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.block.BlockColored,白色染色粘土
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.block.BlockStainedGlassPane,白色染色玻璃板
minecraft:leaves2,161,true,minecraft,net.minecraft.block.BlockNewLeaf,金合欢树叶
minecraft:log2,162,true,minecraft,net.minecraft.block.BlockNewLog,金合欢木
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.block.BlockStairs,金合欢木楼梯
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.block.BlockStairs,深色橡木楼梯
appliedenergistics2:tile.OreQuartz,165,true,appliedenergistics2,appeng.block.solids.OreQuartz,赛特斯石英矿石
appliedenergistics2:tile.OreQuartzCharged,166,true,appliedenergistics2,appeng.block.solids.OreQuartzCharged,充能赛特斯石英矿石
appliedenergistics2:tile.BlockMatrixFrame,167,true,appliedenergistics2,appeng.block.spatial.BlockMatrixFrame,矩阵框架
appliedenergistics2:tile.BlockQuartz,168,true,appliedenergistics2,appeng.block.solids.BlockQuartz,赛特斯石英块
appliedenergistics2:tile.BlockQuartzPillar,169,true,appliedenergistics2,appeng.block.solids.BlockQuartzPillar,赛特斯竖纹石英块
minecraft:hay_block,170,true,minecraft,net.minecraft.block.BlockHay,干草块
minecraft:carpet,171,true,minecraft,net.minecraft.block.BlockCarpet,地毯
minecraft:hardened_clay,172,true,minecraft,net.minecraft.block.BlockHardenedClay,硬化粘土
minecraft:coal_block,173,true,minecraft,net.minecraft.block.Block,煤炭块
minecraft:packed_ice,174,true,minecraft,net.minecraft.block.BlockPackedIce,浮冰
minecraft:double_plant,175,true,minecraft,net.minecraft.block.BlockDoublePlant,向日葵
appliedenergistics2:tile.BlockQuartzChiseled,176,true,appliedenergistics2,appeng.block.solids.BlockQuartzChiseled,錾制赛特斯石英块
appliedenergistics2:tile.BlockQuartzGlass,177,true,appliedenergistics2,appeng.block.solids.BlockQuartzGlass,石英玻璃
appliedenergistics2:tile.BlockQuartzLamp,178,true,appliedenergistics2,appeng.block.solids.BlockQuartzLamp,聚能石英玻璃
appliedenergistics2:tile.BlockQuartzTorch,179,true,appliedenergistics2,appeng.block.misc.BlockQuartzTorch,充能石英火把
appliedenergistics2:tile.BlockFluix,180,true,appliedenergistics2,appeng.block.solids.BlockFluix,福鲁伊克斯块
appliedenergistics2:tile.BlockSkyStone,181,true,appliedenergistics2,appeng.block.solids.BlockSkyStone,陨石
appliedenergistics2:tile.BlockSkyChest,182,true,appliedenergistics2,appeng.block.storage.BlockSkyChest,陨石箱子
appliedenergistics2:tile.BlockSkyCompass,183,true,appliedenergistics2,appeng.block.misc.BlockSkyCompass,陨石罗盘
appliedenergistics2:tile.BlockGrinder,184,true,appliedenergistics2,appeng.block.grindstone.BlockGrinder,石英磨具
appliedenergistics2:tile.BlockCrank,185,true,appliedenergistics2,appeng.block.grindstone.BlockCrank,木质曲柄
appliedenergistics2:tile.BlockInscriber,186,true,appliedenergistics2,appeng.block.misc.BlockInscriber,压印器
appliedenergistics2:tile.BlockAdvancedInscriber,187,true,appliedenergistics2,appeng.block.misc.BlockAdvancedInscriber,高级压印器
appliedenergistics2:tile.BlockWireless,188,true,appliedenergistics2,appeng.block.networking.BlockWireless,ME无线访问点
appliedenergistics2:tile.BlockCharger,189,true,appliedenergistics2,appeng.block.misc.BlockCharger,充能器
appliedenergistics2:tile.BlockTinyTNT,190,true,appliedenergistics2,appeng.block.misc.BlockTinyTNT,迷你TNT
appliedenergistics2:tile.BlockSecurity,191,true,appliedenergistics2,appeng.block.misc.BlockSecurity,ME安全终端
appliedenergistics2:tile.BlockStorageReshuffle,192,true,appliedenergistics2,appeng.block.misc.BlockStorageReshuffle,ME存储整理器
appliedenergistics2:tile.BlockQuantumRing,193,true,appliedenergistics2,appeng.block.qnb.BlockQuantumRing,ME量子环
appliedenergistics2:tile.BlockQuantumLinkChamber,194,true,appliedenergistics2,appeng.block.qnb.BlockQuantumLinkChamber,ME量子链接仓
appliedenergistics2:tile.BlockSpatialPylon,195,true,appliedenergistics2,appeng.block.spatial.BlockSpatialPylon,空间塔
appliedenergistics2:tile.BlockSpatialIOPort,196,true,appliedenergistics2,appeng.block.spatial.BlockSpatialIOPort,空间IO端口
appliedenergistics2:tile.BlockSpatialLinkChamber,197,true,appliedenergistics2,appeng.block.spatial.BlockSpatialLinkChamber,空间链接仓
appliedenergistics2:tile.BlockSpatialNetworkRelay,198,true,appliedenergistics2,appeng.block.spatial.BlockSpatialNetworkRelay,空间网络中继器
appliedenergistics2:tile.BlockCableBus,199,true,appliedenergistics2,appeng.block.networking.BlockCableBus,AE线缆/总线
appliedenergistics2:tile.BlockController,200,true,appliedenergistics2,appeng.block.networking.BlockController,ME控制器
appliedenergistics2:tile.BlockCreativeEnergyController,201,true,appliedenergistics2,appeng.block.networking.BlockCreativeEnergyController,ME自供能控制器
appliedenergistics2:tile.BlockDrive,202,true,appliedenergistics2,appeng.block.storage.BlockDrive,ME驱动器
appliedenergistics2:tile.BlockChest,203,true,appliedenergistics2,appeng.block.storage.BlockChest,ME箱子
appliedenergistics2:tile.BlockInterface,204,true,appliedenergistics2,appeng.block.misc.BlockInterface,ME接口
appliedenergistics2:tile.BlockCellWorkbench,205,true,appliedenergistics2,appeng.block.misc.BlockCellWorkbench,元件工作台
appliedenergistics2:tile.BlockIOPort,206,true,appliedenergistics2,appeng.block.storage.BlockIOPort,ME-IO端口
appliedenergistics2:tile.BlockCondenser,207,true,appliedenergistics2,appeng.block.misc.BlockCondenser,物质聚合器
appliedenergistics2:tile.BlockEnergyAcceptor,208,true,appliedenergistics2,appeng.block.networking.BlockEnergyAcceptor,能源接收器
appliedenergistics2:tile.BlockVibrationChamber,209,true,appliedenergistics2,appeng.block.misc.BlockVibrationChamber,谐振仓
appliedenergistics2:tile.BlockQuartzGrowthAccelerator,210,true,appliedenergistics2,appeng.block.misc.BlockQuartzGrowthAccelerator,晶体催生器
appliedenergistics2:tile.BlockEnergyCell,211,true,appliedenergistics2,appeng.block.networking.BlockEnergyCell,能源元件
appliedenergistics2:tile.BlockDenseEnergyCell,212,true,appliedenergistics2,appeng.block.networking.BlockDenseEnergyCell,致密能源元件
appliedenergistics2:tile.BlockCreativeEnergyCell,213,true,appliedenergistics2,appeng.block.networking.BlockCreativeEnergyCell,创造能源元件
appliedenergistics2:tile.BlockCraftingUnit,214,true,appliedenergistics2,appeng.block.crafting.BlockCraftingUnit,合成单元
appliedenergistics2:tile.BlockAdvancedCraftingUnit,215,true,appliedenergistics2,appeng.block.crafting.BlockAdvancedCraftingUnit,64核并行处理单元
appliedenergistics2:tile.BlockCraftingStorage,216,true,appliedenergistics2,appeng.block.crafting.BlockCraftingStorage,1k合成存储器
appliedenergistics2:tile.BlockAdvancedCraftingStorage,217,true,appliedenergistics2,appeng.block.crafting.BlockAdvancedCraftingStorage,256k合成存储器
appliedenergistics2:tile.BlockSingularityCraftingStorage,218,true,appliedenergistics2,appeng.block.crafting.BlockSingularityCraftingStorage,奇点合成存储器
appliedenergistics2:tile.BlockCraftingMonitor,219,true,appliedenergistics2,appeng.block.crafting.BlockCraftingMonitor,合成监控器
appliedenergistics2:tile.BlockMolecularAssembler,220,true,appliedenergistics2,appeng.block.crafting.BlockMolecularAssembler,分子装配室
appliedenergistics2:tile.BlockLightDetector,221,true,appliedenergistics2,appeng.block.misc.BlockLightDetector,光亮探测器
appliedenergistics2:tile.BlockPaint,222,true,appliedenergistics2,appeng.block.misc.BlockPaint,染色
appliedenergistics2:tile.BlockPatternOptimizationMatrix,223,true,appliedenergistics2,appeng.block.misc.BlockPatternOptimizationMatrix,样板优化矩阵
appliedenergistics2:tile.SkyStoneStairBlock,224,true,appliedenergistics2,appeng.block.stair.SkyStoneStairBlock,陨石楼梯
appliedenergistics2:tile.SkyStoneBlockStairBlock,225,true,appliedenergistics2,appeng.block.stair.SkyStoneBlockStairBlock,陨石块楼梯
appliedenergistics2:tile.SkyStoneBrickStairBlock,226,true,appliedenergistics2,appeng.block.stair.SkyStoneBrickStairBlock,陨石石砖楼梯
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock,227,true,appliedenergistics2,appeng.block.stair.SkyStoneSmallBrickStairBlock,陨石砖块楼梯
appliedenergistics2:tile.FluixStairBlock,228,true,appliedenergistics2,appeng.block.stair.FluixStairBlock,福鲁伊克斯楼梯
appliedenergistics2:tile.QuartzStairBlock,229,true,appliedenergistics2,appeng.block.stair.QuartzStairBlock,赛特斯石英楼梯
appliedenergistics2:tile.ChiseledQuartzStairBlock,230,true,appliedenergistics2,appeng.block.stair.ChiseledQuartzStairBlock,錾制赛特斯石英楼梯
appliedenergistics2:tile.QuartzPillarStairBlock,231,true,appliedenergistics2,appeng.block.stair.QuartzPillarStairBlock,竖纹赛特斯石英楼梯
appliedenergistics2:tile.SkyStoneSlabBlock,232,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石台阶
appliedenergistics2:tile.SkyStoneSlabBlock.double,233,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock,234,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石块台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double,235,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石块台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock,236,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石石砖台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double,237,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石石砖台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock,238,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石砖块台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double,239,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,陨石砖块台阶
appliedenergistics2:tile.FluixSlabBlock,240,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,福鲁伊克斯台阶
appliedenergistics2:tile.FluixSlabBlock.double,241,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,福鲁伊克斯台阶
appliedenergistics2:tile.QuartzSlabBlock,242,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,赛特斯石英台阶
appliedenergistics2:tile.QuartzSlabBlock.double,243,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock,244,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,錾制赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double,245,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,錾制赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock,246,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,竖纹赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock.double,247,true,appliedenergistics2,appeng.block.AEBaseSlabBlock,竖纹赛特斯石英台阶
appliedenergistics2:tile.BlockSuperMEReplenisher,248,true,appliedenergistics2,appeng.block.misc.BlockSuperMEReplenisher,超级ME补充器
appliedenergistics2:tile.BlockWirelessConnector,249,true,appliedenergistics2,appeng.block.networking.BlockWirelessConnector,无线接入器
appliedenergistics2:tile.BlockWirelessHub,250,true,appliedenergistics2,appeng.block.networking.BlockWirelessHub,无线集线器
appliedenergistics2:tile.BlockCrystalGrowthChamber,251,true,appliedenergistics2,appeng.block.misc.BlockCrystalGrowthChamber,晶体催生仓
ae2fc:certus_quartz_tank,252,true,ae2fc,com.glodblock.github.common.block.BlockCertusQuartzTank,赛特斯石英水槽
ae2fc:fluid_auto_filler,253,true,ae2fc,com.glodblock.github.common.block.BlockFluidAutoFiller,ME流体自动装填器
ae2fc:level_maintainer,254,true,ae2fc,com.glodblock.github.common.block.BlockLevelMaintainer,ME请求器
ae2fc:fluid_pattern_encoder,255,true,ae2fc,com.glodblock.github.common.block.BlockFluidPatternEncoder,流体样板编码台
ae2fc:fluid_packet_decoder,409,true,ae2fc,com.glodblock.github.common.block.BlockFluidPacketDecoder,ME流体封包解码器
ae2fc:fluid_interface,410,true,ae2fc,com.glodblock.github.common.block.BlockFluidInterface,ME二合一接口
ae2fc:ingredient_buffer,411,true,ae2fc,com.glodblock.github.common.block.BlockIngredientBuffer,原材料缓存仓
ae2fc:fluid_buffer,412,true,ae2fc,com.glodblock.github.common.block.BlockFluidBuffer,ME流体缓存器
ae2fc:large_ingredient_buffer,413,true,ae2fc,com.glodblock.github.common.block.BlockLargeIngredientBuffer,大型原材料缓存仓
ae2fc:walrus,414,true,ae2fc,com.glodblock.github.common.block.BlockWalrus,海象
ae2fc:super_stock_replenisher,415,true,ae2fc,com.glodblock.github.common.block.BlockSuperStockReplenisher,超级库存补充器
ae2stuff:Encoder,416,true,ae2stuff,net.bdew.ae2stuff.machines.encoder.BlockEncoder$,样板编码台
ae2stuff:Grower,423,true,ae2stuff,net.bdew.ae2stuff.machines.grower.BlockGrower$,晶体催生仓
ae2stuff:Inscriber,424,true,ae2stuff,net.bdew.ae2stuff.machines.inscriber.BlockInscriber$,高级压印器
ae2stuff:Wireless,425,true,ae2stuff,net.bdew.ae2stuff.machines.wireless.BlockWireless$,无线接入器
Botania:flower,426,true,Botania,vazkii.botania.common.block.BlockModFlower,白色神秘花
Botania:altar,427,true,Botania,vazkii.botania.common.block.BlockAltar,花药台
Botania:livingrock,428,true,Botania,vazkii.botania.common.block.BlockLivingrock,活石
Botania:livingwood,429,true,Botania,vazkii.botania.common.block.BlockLivingwood,活木
Botania:specialFlower,430,true,Botania,vazkii.botania.common.block.BlockSpecialFlower,植物魔法花
Botania:spreader,431,true,Botania,vazkii.botania.common.block.mana.BlockSpreader,魔力发射器
Botania:pool,432,true,Botania,vazkii.botania.common.block.mana.BlockPool,魔力池
Botania:runeAltar,433,true,Botania,vazkii.botania.common.block.mana.BlockRuneAltar,符文祭坛
Botania:unstableBlock,434,true,Botania,vazkii.botania.common.block.decor.BlockUnstable,白色不稳定立方
Botania:pylon,435,true,Botania,vazkii.botania.common.block.BlockPylon,魔法水晶
Botania:pistonRelay,436,true,Botania,vazkii.botania.common.block.BlockPistonRelay,力量传递器
Botania:distributor,437,true,Botania,vazkii.botania.common.block.mana.BlockDistributor,魔力分配器
Botania:manaBeacon,438,true,Botania,vazkii.botania.common.block.decor.BlockManaBeacon,白色不稳定信标
Botania:manaVoid,439,true,Botania,vazkii.botania.common.block.mana.BlockManaVoid,魔力销毁器
