Mod,ID,Name,Class Name
ImmersiveEngineering,5,ImmersiveEngineering.chemthrowerShot,blusunrize.immersiveengineering.common.entities.EntityChemthrowerShot
ImmersiveEngineering,6,ImmersiveEngineering.railgunShot,blusunrize.immersiveengineering.common.entities.EntityRailgunShot
MineFactoryReloaded,0,MineFactoryReloaded.SafariNet,powercrystals.minefactoryreloaded.entity.EntitySafariNet
MineFactoryReloaded,1,MineFactoryReloaded.mfrEntityPinkSlime,powercrystals.minefactoryreloaded.entity.EntityPinkSlime
MineFactoryReloaded,2,MineFactoryReloaded.Needle,powercrystals.minefactoryreloaded.entity.EntityNeedle
MineFactoryReloaded,3,MineFactoryReloaded.Rocket,powercrystals.minefactoryreloaded.entity.EntityRocket
MineFactoryReloaded,4,MineFactoryReloaded.FishingRod,powercrystals.minefactoryreloaded.entity.EntityFishingRod
MineFactoryReloaded,5,MineFactoryReloaded.Item,powercrystals.minefactoryreloaded.entity.EntityFlyingItem
MineFactoryReloaded,99,MineFactoryReloaded.DebugTracker,powercrystals.minefactoryreloaded.entity.DebugTracker
OpenBlocks,701,OpenBlocks.Hang Glider,openblocks.common.entity.EntityHangGlider
OpenBlocks,702,OpenBlocks.Luggage,openblocks.common.entity.EntityLuggage
OpenBlocks,703,OpenBlocks.Magnet,openblocks.common.entity.EntityMagnet
OpenBlocks,704,OpenBlocks.MountedBlock,openblocks.common.entity.EntityMountedBlock
OpenBlocks,705,OpenBlocks.Cartographer,openblocks.common.entity.EntityCartographer
OpenBlocks,706,OpenBlocks.EntityItemProjectile,openblocks.common.entity.EntityItemProjectile
OpenBlocks,707,OpenBlocks.GoldenEye,openblocks.common.entity.EntityGoldenEye
OpenBlocks,708,OpenBlocks.Player-Magnet,openblocks.common.entity.EntityMagnet$PlayerBound
OpenBlocks,709,OpenBlocks.XPOrbNoFly,openblocks.common.entity.EntityXPOrbNoFly
OpenBlocks,710,OpenBlocks.MiniMe,openblocks.common.entity.EntityMiniMe
OpenMods,804,OpenMods.Block,openmods.entity.EntityBlock
StevesCarts,0,StevesCarts.Minecart.Vswe.0,vswe.stevescarts.Carts.MinecartModular
StevesCarts,2,StevesCarts.Egg.Vswe,vswe.stevescarts.Helpers.EntityEasterEgg
StevesCarts,3,StevesCarts.Cake.Vswe,vswe.stevescarts.Helpers.EntityCake
TConstruct,0,TConstruct.Fancy Item,tconstruct.tools.entity.FancyEntityItem
TConstruct,1,TConstruct.Dagger,tconstruct.tools.entity.DaggerEntity
TConstruct,2,TConstruct.Crystal,tconstruct.world.entity.Crystal
TConstruct,3,TConstruct.Launched Potion,tconstruct.tools.entity.LaunchedPotion
TConstruct,4,TConstruct.Arrow,tconstruct.tools.entity.ArrowEntity
TConstruct,5,TConstruct.LandmineFirework,tconstruct.mechworks.entity.item.EntityLandmineFirework
TConstruct,6,TConstruct.SlimeExplosive,tconstruct.mechworks.entity.item.ExplosivePrimed
TConstruct,12,TConstruct.EdibleSlime,tconstruct.world.entity.BlueSlime
TConstruct,14,TConstruct.KingSlime,tconstruct.world.entity.KingBlueSlime
TConstruct,20,TConstruct.Shuriken,tconstruct.weaponry.entity.ShurikenEntity
TConstruct,21,TConstruct.ThrowingKnife,tconstruct.weaponry.entity.ThrowingKnifeEntity
TConstruct,22,TConstruct.Javelin,tconstruct.weaponry.entity.JavelinEntity
TConstruct,23,TConstruct.Arrow,tconstruct.weaponry.entity.ArrowEntity
TConstruct,24,TConstruct.Bolt,tconstruct.weaponry.entity.BoltEntity
ThermalDynamics,0,ThermalDynamics.Transport,cofh.thermaldynamics.duct.entity.EntityTransport
ThermalExpansion,4,ThermalExpansion.florb,cofh.thermalexpansion.entity.projectile.EntityFlorb
ThermalFoundation,1,ThermalFoundation.blizzBolt,cofh.thermalfoundation.entity.projectile.EntityBlizzBolt
ThermalFoundation,2,ThermalFoundation.blitzBolt,cofh.thermalfoundation.entity.projectile.EntityBlitzBolt
ThermalFoundation,3,ThermalFoundation.basalzBolt,cofh.thermalfoundation.entity.projectile.EntityBasalzBolt
appliedenergistics2,10,appliedenergistics2.EntityTinyTNTPrimed,appeng.entity.EntityTinyTNTPrimed
appliedenergistics2,11,appliedenergistics2.EntitySingularity,appeng.entity.EntitySingularity
appliedenergistics2,11,appliedenergistics2.EntitySingularity,appeng.entity.EntitySingularity
appliedenergistics2,11,appliedenergistics2.EntitySingularity,appeng.entity.EntitySingularity
appliedenergistics2,12,appliedenergistics2.EntityChargedQuartz,appeng.entity.EntityChargedQuartz
appliedenergistics2,13,appliedenergistics2.EntityGrowingCrystal,appeng.entity.EntityGrowingCrystal
betterquesting,0,betterquesting.placeholder,betterquesting.api.placeholders.EntityPlaceholder
chisel,0,chisel.snowman,team.chisel.entity.EntityChiselSnowman
chisel,1,chisel.CloudInABottle,team.chisel.entity.EntityCloudInABottle
chisel,2,chisel.BallOMoss,team.chisel.entity.EntityBallOMoss
chisel,3,chisel.SmashingRock,team.chisel.entity.EntitySmashingRock
exnihilo,0,exnihilo.Broken Stone,exnihilo.entities.EntityStone
modularui2,0,modularui2.modular_screen,com.cleanroommc.modularui.holoui.HoloScreenEntity
