Name,ID,Has Block,Mod,Class,Display Name
minecraft:fire,51,true,minecraft,net.minecraft.item.ItemBlock,火
minecraft:mob_spawner,52,true,minecraft,codechicken.nei.ItemMobSpawner,刷怪箱
minecraft:oak_stairs,53,true,minecraft,net.minecraft.item.ItemBlock,橡木楼梯
minecraft:chest,54,true,minecraft,net.minecraft.item.ItemBlock,箱子
minecraft:diamond_ore,56,true,minecraft,net.minecraft.item.ItemBlock,钻石矿石
minecraft:diamond_block,57,true,minecraft,net.minecraft.item.ItemBlock,钻石块
minecraft:crafting_table,58,true,minecraft,net.minecraft.item.ItemBlock,工作台
minecraft:farmland,60,true,minecraft,net.minecraft.item.ItemBlock,耕地
minecraft:furnace,61,true,minecraft,net.minecraft.item.ItemBlock,熔炉
minecraft:lit_furnace,62,true,minecraft,net.minecraft.item.ItemBlock,熔炉
minecraft:ladder,65,true,minecraft,net.minecraft.item.ItemBlock,梯子
minecraft:rail,66,true,minecraft,net.minecraft.item.ItemBlock,轨道
minecraft:stone_stairs,67,true,minecraft,net.minecraft.item.ItemBlock,石楼梯
minecraft:lever,69,true,minecraft,net.minecraft.item.ItemBlock,拉杆
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.item.ItemBlock,压力板
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.item.ItemBlock,压力板
minecraft:redstone_ore,73,true,minecraft,net.minecraft.item.ItemBlock,红石矿石
minecraft:redstone_torch,76,true,minecraft,net.minecraft.item.ItemBlock,红石火把
minecraft:stone_button,77,true,minecraft,net.minecraft.item.ItemBlock,按钮
minecraft:snow_layer,78,true,minecraft,net.minecraft.item.ItemSnow,雪
minecraft:ice,79,true,minecraft,net.minecraft.item.ItemBlock,冰
minecraft:snow,80,true,minecraft,net.minecraft.item.ItemBlock,雪
minecraft:cactus,81,true,minecraft,net.minecraft.item.ItemBlock,仙人掌
minecraft:clay,82,true,minecraft,net.minecraft.item.ItemBlock,粘土块
minecraft:jukebox,84,true,minecraft,net.minecraft.item.ItemBlock,唱片机
minecraft:fence,85,true,minecraft,net.minecraft.item.ItemBlock,栅栏
minecraft:pumpkin,86,true,minecraft,net.minecraft.item.ItemBlock,南瓜
minecraft:netherrack,87,true,minecraft,net.minecraft.item.ItemBlock,地狱岩
minecraft:soul_sand,88,true,minecraft,net.minecraft.item.ItemBlock,灵魂沙
minecraft:glowstone,89,true,minecraft,net.minecraft.item.ItemBlock,萤石
minecraft:portal,90,true,minecraft,net.minecraft.item.ItemBlock,传送门
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.item.ItemBlock,南瓜灯
minecraft:stained_glass,95,true,minecraft,net.minecraft.item.ItemCloth,白色染色玻璃
minecraft:trapdoor,96,true,minecraft,net.minecraft.item.ItemBlock,活板门
minecraft:monster_egg,97,true,minecraft,net.minecraft.item.ItemMultiTexture,石头怪物蛋
minecraft:stonebrick,98,true,minecraft,net.minecraft.item.ItemMultiTexture,石砖
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.item.ItemBlock,蘑菇
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.item.ItemBlock,蘑菇
minecraft:iron_bars,101,true,minecraft,net.minecraft.item.ItemBlock,铁栏杆
minecraft:glass_pane,102,true,minecraft,net.minecraft.item.ItemBlock,玻璃板
minecraft:melon_block,103,true,minecraft,net.minecraft.item.ItemBlock,西瓜
minecraft:vine,106,true,minecraft,net.minecraft.item.ItemColored,藤蔓
minecraft:fence_gate,107,true,minecraft,net.minecraft.item.ItemBlock,橡木栅栏门
minecraft:brick_stairs,108,true,minecraft,net.minecraft.item.ItemBlock,砖楼梯
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.item.ItemBlock,石砖楼梯
minecraft:mycelium,110,true,minecraft,net.minecraft.item.ItemBlock,菌丝
minecraft:waterlily,111,true,minecraft,net.minecraft.item.ItemLilyPad,睡莲
minecraft:nether_brick,112,true,minecraft,net.minecraft.item.ItemBlock,地狱砖块
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.item.ItemBlock,地狱砖栅栏
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.item.ItemBlock,地狱砖楼梯
minecraft:enchanting_table,116,true,minecraft,net.minecraft.item.ItemBlock,附魔台
minecraft:end_portal,119,true,minecraft,net.minecraft.item.ItemBlock,"未命名方块,请报告给作者."
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.item.ItemBlock,末地传送门
minecraft:end_stone,121,true,minecraft,net.minecraft.item.ItemBlock,末地石
minecraft:dragon_egg,122,true,minecraft,net.minecraft.item.ItemBlock,龙蛋
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.item.ItemBlock,红石灯
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.item.ItemSlab,橡木台阶
minecraft:wooden_slab,126,true,minecraft,net.minecraft.item.ItemSlab,橡木台阶
minecraft:cocoa,127,true,minecraft,net.minecraft.item.ItemBlock,可可果
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.item.ItemBlock,沙石楼梯
minecraft:emerald_ore,129,true,minecraft,net.minecraft.item.ItemBlock,绿宝石矿石
minecraft:ender_chest,130,true,minecraft,net.minecraft.item.ItemBlock,私人末影箱子
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.item.ItemBlock,绊线钩
minecraft:emerald_block,133,true,minecraft,net.minecraft.item.ItemBlock,绿宝石块
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.item.ItemBlock,云杉木楼梯
minecraft:birch_stairs,135,true,minecraft,net.minecraft.item.ItemBlock,桦木楼梯
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.item.ItemBlock,丛林木楼梯
minecraft:command_block,137,true,minecraft,net.minecraft.item.ItemBlock,命令方块
minecraft:beacon,138,true,minecraft,net.minecraft.item.ItemBlock,信标
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.item.ItemMultiTexture,圆石墙
minecraft:carrots,141,true,minecraft,net.minecraft.item.ItemBlock,胡萝卜
minecraft:potatoes,142,true,minecraft,net.minecraft.item.ItemBlock,马铃薯
minecraft:wooden_button,143,true,minecraft,net.minecraft.item.ItemBlock,按钮
minecraft:anvil,145,true,minecraft,net.minecraft.item.ItemAnvilBlock,铁砧
minecraft:trapped_chest,146,true,minecraft,net.minecraft.item.ItemBlock,陷阱箱
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.item.ItemBlock,测重压力板 (轻质)
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.item.ItemBlock,测重压力板 (重质)
minecraft:daylight_detector,151,true,minecraft,net.minecraft.item.ItemBlock,阳光传感器
minecraft:redstone_block,152,true,minecraft,net.minecraft.item.ItemBlock,红石块
minecraft:quartz_ore,153,true,minecraft,net.minecraft.item.ItemBlock,下界石英矿石
minecraft:hopper,154,true,minecraft,net.minecraft.item.ItemBlock,漏斗
minecraft:quartz_block,155,true,minecraft,net.minecraft.item.ItemMultiTexture,石英块
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.item.ItemBlock,石英楼梯
minecraft:activator_rail,157,true,minecraft,net.minecraft.item.ItemBlock,激活轨道
minecraft:dropper,158,true,minecraft,net.minecraft.item.ItemBlock,投掷器
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.item.ItemCloth,白色染色粘土
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.item.ItemCloth,白色染色玻璃板
minecraft:leaves2,161,true,minecraft,net.minecraft.item.ItemLeaves,金合欢树叶
minecraft:log2,162,true,minecraft,net.minecraft.item.ItemMultiTexture,金合欢木
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.item.ItemBlock,金合欢木楼梯
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.item.ItemBlock,深色橡木楼梯
appliedenergistics2:tile.OreQuartz,165,true,appliedenergistics2,appeng.block.AEBaseItemBlock,赛特斯石英矿石
appliedenergistics2:tile.OreQuartzCharged,166,true,appliedenergistics2,appeng.block.AEBaseItemBlock,充能赛特斯石英矿石
appliedenergistics2:tile.BlockMatrixFrame,167,true,appliedenergistics2,appeng.block.AEBaseItemBlock,矩阵框架
appliedenergistics2:tile.BlockQuartz,168,true,appliedenergistics2,appeng.block.AEBaseItemBlock,赛特斯石英块
appliedenergistics2:tile.BlockQuartzPillar,169,true,appliedenergistics2,appeng.block.AEBaseItemBlock,赛特斯竖纹石英块
minecraft:hay_block,170,true,minecraft,net.minecraft.item.ItemBlock,干草块
minecraft:carpet,171,true,minecraft,net.minecraft.item.ItemCloth,地毯
minecraft:hardened_clay,172,true,minecraft,net.minecraft.item.ItemBlock,硬化粘土
minecraft:coal_block,173,true,minecraft,net.minecraft.item.ItemBlock,煤炭块
minecraft:packed_ice,174,true,minecraft,net.minecraft.item.ItemBlock,浮冰
minecraft:double_plant,175,true,minecraft,net.minecraft.item.ItemDoublePlant,向日葵
appliedenergistics2:tile.BlockQuartzChiseled,176,true,appliedenergistics2,appeng.block.AEBaseItemBlock,錾制赛特斯石英块
appliedenergistics2:tile.BlockQuartzGlass,177,true,appliedenergistics2,appeng.block.AEBaseItemBlock,石英玻璃
appliedenergistics2:tile.BlockQuartzLamp,178,true,appliedenergistics2,appeng.block.AEBaseItemBlock,聚能石英玻璃
appliedenergistics2:tile.BlockQuartzTorch,179,true,appliedenergistics2,appeng.block.AEBaseItemBlock,充能石英火把
appliedenergistics2:tile.BlockFluix,180,true,appliedenergistics2,appeng.block.AEBaseItemBlock,福鲁伊克斯块
appliedenergistics2:tile.BlockSkyStone,181,true,appliedenergistics2,appeng.block.AEBaseItemBlock,陨石
appliedenergistics2:tile.BlockSkyChest,182,true,appliedenergistics2,appeng.block.AEBaseItemBlock,陨石箱子
appliedenergistics2:tile.BlockSkyCompass,183,true,appliedenergistics2,appeng.block.AEBaseItemBlock,陨石罗盘
appliedenergistics2:tile.BlockGrinder,184,true,appliedenergistics2,appeng.block.AEBaseItemBlock,石英磨具
appliedenergistics2:tile.BlockCrank,185,true,appliedenergistics2,appeng.block.AEBaseItemBlock,木质曲柄
appliedenergistics2:tile.BlockInscriber,186,true,appliedenergistics2,appeng.block.AEBaseItemBlock,压印器
appliedenergistics2:tile.BlockAdvancedInscriber,187,true,appliedenergistics2,appeng.block.AEBaseItemBlock,高级压印器
appliedenergistics2:tile.BlockWireless,188,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME无线访问点
appliedenergistics2:tile.BlockCharger,189,true,appliedenergistics2,appeng.block.AEBaseItemBlock,充能器
appliedenergistics2:tile.BlockTinyTNT,190,true,appliedenergistics2,appeng.block.AEBaseItemBlock,迷你TNT
appliedenergistics2:tile.BlockSecurity,191,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME安全终端
appliedenergistics2:tile.BlockStorageReshuffle,192,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME存储整理器
appliedenergistics2:tile.BlockQuantumRing,193,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME量子环
appliedenergistics2:tile.BlockQuantumLinkChamber,194,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME量子链接仓
appliedenergistics2:tile.BlockSpatialPylon,195,true,appliedenergistics2,appeng.block.AEBaseItemBlock,空间塔
appliedenergistics2:tile.BlockSpatialIOPort,196,true,appliedenergistics2,appeng.block.AEBaseItemBlock,空间IO端口
appliedenergistics2:tile.BlockSpatialLinkChamber,197,true,appliedenergistics2,appeng.block.AEBaseItemBlock,空间链接仓
appliedenergistics2:tile.BlockSpatialNetworkRelay,198,true,appliedenergistics2,appeng.block.AEBaseItemBlock,空间网络中继器
appliedenergistics2:tile.BlockCableBus,199,true,appliedenergistics2,appeng.block.AEBaseItemBlock,AE线缆/总线
appliedenergistics2:tile.BlockController,200,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME控制器
appliedenergistics2:tile.BlockCreativeEnergyController,201,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME自供能控制器
appliedenergistics2:tile.BlockDrive,202,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME驱动器
appliedenergistics2:tile.BlockChest,203,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME箱子
appliedenergistics2:tile.BlockInterface,204,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME接口
appliedenergistics2:tile.BlockCellWorkbench,205,true,appliedenergistics2,appeng.block.AEBaseItemBlock,元件工作台
appliedenergistics2:tile.BlockIOPort,206,true,appliedenergistics2,appeng.block.AEBaseItemBlock,ME-IO端口
appliedenergistics2:tile.BlockCondenser,207,true,appliedenergistics2,appeng.block.AEBaseItemBlock,物质聚合器
appliedenergistics2:tile.BlockEnergyAcceptor,208,true,appliedenergistics2,appeng.block.AEBaseItemBlock,能源接收器
appliedenergistics2:tile.BlockVibrationChamber,209,true,appliedenergistics2,appeng.block.AEBaseItemBlock,谐振仓
appliedenergistics2:tile.BlockQuartzGrowthAccelerator,210,true,appliedenergistics2,appeng.block.AEBaseItemBlock,晶体催生器
appliedenergistics2:tile.BlockEnergyCell,211,true,appliedenergistics2,appeng.block.AEBaseItemBlockChargeable,能源元件
appliedenergistics2:tile.BlockDenseEnergyCell,212,true,appliedenergistics2,appeng.block.AEBaseItemBlockChargeable,致密能源元件
appliedenergistics2:tile.BlockCreativeEnergyCell,213,true,appliedenergistics2,appeng.block.AEBaseItemBlock,创造能源元件
appliedenergistics2:tile.BlockCraftingUnit,214,true,appliedenergistics2,appeng.block.AEBaseItemBlock,合成单元
appliedenergistics2:tile.BlockAdvancedCraftingUnit,215,true,appliedenergistics2,appeng.block.AEBaseItemBlock,64核并行处理单元
appliedenergistics2:tile.BlockCraftingStorage,216,true,appliedenergistics2,appeng.block.crafting.ItemCraftingStorage,1k合成存储器
appliedenergistics2:tile.BlockAdvancedCraftingStorage,217,true,appliedenergistics2,appeng.block.crafting.ItemCraftingStorage,256k合成存储器
appliedenergistics2:tile.BlockSingularityCraftingStorage,218,true,appliedenergistics2,appeng.block.crafting.ItemCraftingStorage,奇点合成存储器
appliedenergistics2:tile.BlockCraftingMonitor,219,true,appliedenergistics2,appeng.block.AEBaseItemBlock,合成监控器
appliedenergistics2:tile.BlockMolecularAssembler,220,true,appliedenergistics2,appeng.block.AEBaseItemBlock,分子装配室
appliedenergistics2:tile.BlockLightDetector,221,true,appliedenergistics2,appeng.block.AEBaseItemBlock,光亮探测器
appliedenergistics2:tile.BlockPaint,222,true,appliedenergistics2,appeng.block.AEBaseItemBlock,染色
appliedenergistics2:tile.BlockPatternOptimizationMatrix,223,true,appliedenergistics2,appeng.block.AEBaseItemBlock,样板优化矩阵
appliedenergistics2:tile.SkyStoneStairBlock,224,true,appliedenergistics2,net.minecraft.item.ItemBlock,陨石楼梯
appliedenergistics2:tile.SkyStoneBlockStairBlock,225,true,appliedenergistics2,net.minecraft.item.ItemBlock,陨石块楼梯
appliedenergistics2:tile.SkyStoneBrickStairBlock,226,true,appliedenergistics2,net.minecraft.item.ItemBlock,陨石石砖楼梯
appliedenergistics2:tile.SkyStoneSmallBrickStairBlock,227,true,appliedenergistics2,net.minecraft.item.ItemBlock,陨石砖块楼梯
appliedenergistics2:tile.FluixStairBlock,228,true,appliedenergistics2,net.minecraft.item.ItemBlock,福鲁伊克斯楼梯
appliedenergistics2:tile.QuartzStairBlock,229,true,appliedenergistics2,net.minecraft.item.ItemBlock,赛特斯石英楼梯
appliedenergistics2:tile.ChiseledQuartzStairBlock,230,true,appliedenergistics2,net.minecraft.item.ItemBlock,錾制赛特斯石英楼梯
appliedenergistics2:tile.QuartzPillarStairBlock,231,true,appliedenergistics2,net.minecraft.item.ItemBlock,竖纹赛特斯石英楼梯
appliedenergistics2:tile.SkyStoneSlabBlock,232,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石台阶
appliedenergistics2:tile.SkyStoneSlabBlock.double,233,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock,234,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石块台阶
appliedenergistics2:tile.SkyStoneBlockSlabBlock.double,235,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石块台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock,236,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石石砖台阶
appliedenergistics2:tile.SkyStoneBrickSlabBlock.double,237,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石石砖台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock,238,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石砖块台阶
appliedenergistics2:tile.SkyStoneSmallBrickSlabBlock.double,239,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,陨石砖块台阶
appliedenergistics2:tile.FluixSlabBlock,240,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,福鲁伊克斯台阶
appliedenergistics2:tile.FluixSlabBlock.double,241,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,福鲁伊克斯台阶
appliedenergistics2:tile.QuartzSlabBlock,242,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,赛特斯石英台阶
appliedenergistics2:tile.QuartzSlabBlock.double,243,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock,244,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,錾制赛特斯石英台阶
appliedenergistics2:tile.ChiseledQuartzSlabBlock.double,245,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,錾制赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock,246,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,竖纹赛特斯石英台阶
appliedenergistics2:tile.QuartzPillarSlabBlock.double,247,true,appliedenergistics2,appeng.block.AEBaseItemBlockSlab,竖纹赛特斯石英台阶
appliedenergistics2:tile.BlockSuperMEReplenisher,248,true,appliedenergistics2,appeng.block.AEBaseItemBlock,超级ME补充器
appliedenergistics2:tile.BlockWirelessConnector,249,true,appliedenergistics2,appeng.block.AEBaseItemBlock,无线接入器
appliedenergistics2:tile.BlockWirelessHub,250,true,appliedenergistics2,appeng.block.AEBaseItemBlock,无线集线器
appliedenergistics2:tile.BlockCrystalGrowthChamber,251,true,appliedenergistics2,appeng.block.AEBaseItemBlock,晶体催生仓
ae2fc:certus_quartz_tank,252,true,ae2fc,com.glodblock.github.common.item.ItemCertusQuartzTank,赛特斯石英水槽
ae2fc:fluid_auto_filler,253,true,ae2fc,com.glodblock.github.common.item.FCBaseItemBlock,ME流体自动装填器
ae2fc:level_maintainer,254,true,ae2fc,com.glodblock.github.common.item.FCBaseItemBlock,ME请求器
ae2fc:fluid_pattern_encoder,255,true,ae2fc,appeng.block.AEBaseItemBlock,流体样板编码台
minecraft:iron_shovel,256,false,minecraft,net.minecraft.item.ItemSpade,铁锹
minecraft:iron_pickaxe,257,false,minecraft,net.minecraft.item.ItemPickaxe,铁镐
minecraft:iron_axe,258,false,minecraft,net.minecraft.item.ItemAxe,铁斧
minecraft:flint_and_steel,259,false,minecraft,net.minecraft.item.ItemFlintAndSteel,打火石
minecraft:apple,260,false,minecraft,net.minecraft.item.ItemFood,苹果
minecraft:bow,261,false,minecraft,net.minecraft.item.ItemBow,弓
minecraft:arrow,262,false,minecraft,net.minecraft.item.Item,箭
minecraft:coal,263,false,minecraft,net.minecraft.item.ItemCoal,煤炭
minecraft:diamond,264,false,minecraft,net.minecraft.item.Item,钻石
minecraft:iron_ingot,265,false,minecraft,net.minecraft.item.Item,铁锭
minecraft:gold_ingot,266,false,minecraft,net.minecraft.item.Item,金锭
minecraft:iron_sword,267,false,minecraft,net.minecraft.item.ItemSword,铁剑
minecraft:wooden_sword,268,false,minecraft,net.minecraft.item.ItemSword,木剑
minecraft:wooden_shovel,269,false,minecraft,net.minecraft.item.ItemSpade,木锹
minecraft:wooden_pickaxe,270,false,minecraft,net.minecraft.item.ItemPickaxe,木镐
minecraft:wooden_axe,271,false,minecraft,net.minecraft.item.ItemAxe,木斧
minecraft:stone_sword,272,false,minecraft,net.minecraft.item.ItemSword,石剑
minecraft:stone_shovel,273,false,minecraft,net.minecraft.item.ItemSpade,石锹
minecraft:stone_pickaxe,274,false,minecraft,net.minecraft.item.ItemPickaxe,石镐
minecraft:stone_axe,275,false,minecraft,net.minecraft.item.ItemAxe,石斧
minecraft:diamond_sword,276,false,minecraft,net.minecraft.item.ItemSword,钻石剑
minecraft:diamond_shovel,277,false,minecraft,net.minecraft.item.ItemSpade,钻石锹
minecraft:diamond_pickaxe,278,false,minecraft,net.minecraft.item.ItemPickaxe,钻石镐
minecraft:diamond_axe,279,false,minecraft,net.minecraft.item.ItemAxe,钻石斧
minecraft:stick,280,false,minecraft,net.minecraft.item.Item,木棍
minecraft:bowl,281,false,minecraft,net.minecraft.item.Item,碗
minecraft:mushroom_stew,282,false,minecraft,net.minecraft.item.ItemSoup,蘑菇煲
minecraft:golden_sword,283,false,minecraft,net.minecraft.item.ItemSword,金剑
minecraft:golden_shovel,284,false,minecraft,net.minecraft.item.ItemSpade,金锹
minecraft:golden_pickaxe,285,false,minecraft,net.minecraft.item.ItemPickaxe,金镐
minecraft:golden_axe,286,false,minecraft,net.minecraft.item.ItemAxe,金斧
minecraft:string,287,false,minecraft,net.minecraft.item.ItemReed,线
minecraft:feather,288,false,minecraft,net.minecraft.item.Item,羽毛
minecraft:gunpowder,289,false,minecraft,net.minecraft.item.Item,火药
minecraft:wooden_hoe,290,false,minecraft,net.minecraft.item.ItemHoe,木锄
minecraft:stone_hoe,291,false,minecraft,net.minecraft.item.ItemHoe,石锄
minecraft:iron_hoe,292,false,minecraft,net.minecraft.item.ItemHoe,铁锄
minecraft:diamond_hoe,293,false,minecraft,net.minecraft.item.ItemHoe,钻石锄
minecraft:golden_hoe,294,false,minecraft,net.minecraft.item.ItemHoe,金锄
minecraft:wheat_seeds,295,false,minecraft,net.minecraft.item.ItemSeeds,小麦种子
minecraft:wheat,296,false,minecraft,net.minecraft.item.Item,小麦
minecraft:bread,297,false,minecraft,net.minecraft.item.ItemFood,面包
minecraft:leather_helmet,298,false,minecraft,net.minecraft.item.ItemArmor,皮革帽子
minecraft:leather_chestplate,299,false,minecraft,net.minecraft.item.ItemArmor,皮革外套
minecraft:leather_leggings,300,false,minecraft,net.minecraft.item.ItemArmor,皮革裤子
minecraft:leather_boots,301,false,minecraft,net.minecraft.item.ItemArmor,皮革靴子
minecraft:chainmail_helmet,302,false,minecraft,net.minecraft.item.ItemArmor,锁链头盔
minecraft:chainmail_chestplate,303,false,minecraft,net.minecraft.item.ItemArmor,锁链胸甲
minecraft:chainmail_leggings,304,false,minecraft,net.minecraft.item.ItemArmor,锁链护腿
minecraft:chainmail_boots,305,false,minecraft,net.minecraft.item.ItemArmor,锁链靴子
minecraft:iron_helmet,306,false,minecraft,net.minecraft.item.ItemArmor,铁头盔
minecraft:iron_chestplate,307,false,minecraft,net.minecraft.item.ItemArmor,铁胸甲
minecraft:iron_leggings,308,false,minecraft,net.minecraft.item.ItemArmor,铁护腿
minecraft:iron_boots,309,false,minecraft,net.minecraft.item.ItemArmor,铁靴子
minecraft:diamond_helmet,310,false,minecraft,net.minecraft.item.ItemArmor,钻石头盔
minecraft:diamond_chestplate,311,false,minecraft,net.minecraft.item.ItemArmor,钻石胸甲
minecraft:diamond_leggings,312,false,minecraft,net.minecraft.item.ItemArmor,钻石护腿
minecraft:diamond_boots,313,false,minecraft,net.minecraft.item.ItemArmor,钻石靴子
minecraft:golden_helmet,314,false,minecraft,net.minecraft.item.ItemArmor,金头盔
minecraft:golden_chestplate,315,false,minecraft,net.minecraft.item.ItemArmor,金胸甲
minecraft:golden_leggings,316,false,minecraft,net.minecraft.item.ItemArmor,金护腿
minecraft:golden_boots,317,false,minecraft,net.minecraft.item.ItemArmor,金靴子
